id,sentenceId,policyId,appId
23,"We share your Personal Data with our affiliates, external service providers, third party vendors, and associates as necessary to perform transactions with you and manage our business.",2,co.touchlab.android.onesecondeveryday
24,"If a child under the age of 16 has provided us with Personal Data, we ask that a parent or guardian contact us at privacy@1secondeveryday.com.",1,co.touchlab.android.onesecondeveryday
25,"If you believe that a child under age 16 (or other age applicable in a different jurisdiction) has provided personal data to us on this website without the consent of a parent or guardian, or if you wish to delete your child's personal data collected from this website, please notify us at privacy@1secondeveryday.com.",1,co.touchlab.android.onesecondeveryday
26,Clicking on those links or enabling those connections may allow third parties to collect or share data about you.,9,co.touchlab.android.onesecondeveryday
27,"We also collect, use and share Aggregated Data such as statistical or demographic data for any purpose.",10,co.touchlab.android.onesecondeveryday
28,"Where we need to collect personal data by law, or under the terms of a contract we have with you, and you fail to provide that data when requested, we may not be able to perform the contract we have or are trying to enter into with you (for example, to provide you with goods or services).",11,co.touchlab.android.onesecondeveryday
29,"As you interact with our website, we will automatically collect Technical Data about your equipment, browsing actions and patterns.",12,co.touchlab.android.onesecondeveryday
30,"We collect this personal data by using cookies, server logs and other similar technologies.",1,co.touchlab.android.onesecondeveryday
31,We will receive personal data about you from various third parties as set out below technical Data from the following parties:,1,co.touchlab.android.onesecondeveryday
32,We will only use your personal data when the law allows us to.,1,co.touchlab.android.onesecondeveryday
33,"Most commonly, we will use your personal data in the following circumstances: where we need to perform the contract we are about to enter into or have entered into with you.",1,co.touchlab.android.onesecondeveryday
34,"Most commonly, we will use your personal data in the following circumstances: where it is necessary for our legitimate interests (or those of a third party) and your interests and fundamental rights do not override those interests.",1,co.touchlab.android.onesecondeveryday
35,"Most commonly, we will use your personal data in the following circumstances: where we need to comply with a legal obligation.",1,co.touchlab.android.onesecondeveryday
36,Purposes for which we will use your personal data,1,co.touchlab.android.onesecondeveryday
37,"We have set out below, in a table format, a description of all the ways we plan to use your personal data, and which of the legal bases we rely on to do so.",1,co.touchlab.android.onesecondeveryday
38,We do not use or share your personal data for any third-party marketing purposes.,8,co.touchlab.android.onesecondeveryday
39,"We may use your Identity, Contact, Technical, Usage, Profile, and Marketing and Communications Data to form a view on what we think you may want or need, or what may be of interest to you.",13,co.touchlab.android.onesecondeveryday
40,"We may use your Identity, Contact, Technical, Usage, Profile, and Marketing and Communications Data to form a view on what we think you may want or need, or what may be of interest to you.",1,co.touchlab.android.onesecondeveryday
41,"We may use your Identity, Contact, Technical, Usage, Profile, and Marketing and Communications Data to form a view on what we think you may want or need, or what may be of interest to you.",14,co.touchlab.android.onesecondeveryday
42,"We will only use your personal data for the purposes for which we collected it, unless we reasonably consider that we need to use it for another reason and that reason is compatible with the original purpose.",1,co.touchlab.android.onesecondeveryday
43,"If we need to use your personal data for an unrelated purpose, we will notify you and we will explain the legal basis which allows us to do so.",1,co.touchlab.android.onesecondeveryday
44,We may share your personal data with the parties set out below for the purposes set out in the App User's Personal Data Usage Table and Website User's Personal Data Usage Table above.,1,co.touchlab.android.onesecondeveryday
45,We may share your personal data with the parties set out below for the purposes set out in the App User's Personal Data Usage Table and Website User's Personal Data Usage Table above.,2,co.touchlab.android.onesecondeveryday
46,We do not allow our third-party service providers to use your personal data for their own purposes and only permit them to process your personal data for specified purposes and in accordance with our instructions.,2,co.touchlab.android.onesecondeveryday
47,"Note that if you share your personal data on our Site or through our Services by making public postings or sharing content such as videos or journal entries, we cannot control what other users you share that data with will do with it and even after we delete our copies of it, it may still be viewable in cached or archived pages or as copies made by users.",15,co.touchlab.android.onesecondeveryday
48,"Note that if you share your personal data on our Site or through our Services by making public postings or sharing content such as videos or journal entries, we cannot control what other users you share that data with will do with it and even after we delete our copies of it, it may still be viewable in cached or archived pages or as copies made by users.",11,co.touchlab.android.onesecondeveryday
49,We do not use your personal data for activities where our interests are overridden by the impact on you (unless we have your consent or are otherwise required or permitted to by law).,1,co.touchlab.android.onesecondeveryday
50,We may collect personal data through behavioral tracking or associate personal information with other information collected through behavioral tracking as described in this privacy policy or our cookie policy.,1,co.touchlab.android.onesecondeveryday
51,"However, please know that we do not sell your personal data",1,co.touchlab.android.onesecondeveryday
52,"However, please know we do not currently disclose personal information to third parties for their direct marketing purposes.",1,co.touchlab.android.onesecondeveryday
53,"However, please know we do not currently disclose personal information to third parties for their direct marketing purposes.",15,co.touchlab.android.onesecondeveryday
54,With whom do we share your Personal Data?,1,com.asmodeedigital.spotitduel
55,"We collect the following Personal Data about you: identifying information, such as your first and last name, pseudonym, date of birth, and gender,",1,com.asmodeedigital.spotitduel
56,"We do not collect any Personal Data that is considered ""sensitive"" under the Personal Data Regulations, in particular data relating to your state of health or that would reveal your alleged racial or ethnic origin, your political views, your religious or philosophical beliefs, or your trade union membership.",11,com.asmodeedigital.spotitduel
57,"We may share your Personal Data with different types of recipients, especially with our Partners, in order to provide you with the Services internal recipients.",2,com.asmodeedigital.spotitduel
58,"We may share your Personal Data with different types of recipients, especially with our Partners, in order to provide you with the Services internal recipients.",1,com.asmodeedigital.spotitduel
59,"Each of these rights is further detailed below we may continue to use your Personal Data following a request for restriction in the following cases; with your consent: to establish, exercise or defend legal claims; or to protect the rights of any other person or entity.",1,com.asmodeedigital.spotitduel
60,"We collect and process information from your device in several ways, including we also automatically collect usage details each time you use Transit, including the country of origin, the searches you make, the routes you interact with, the type of phone or OS you are using, etc.",14,com.thetransitapp.droid
61,"We collect and process information from your device in several ways, including we collect your name, phone number, email address and other information you may provide when using the ""Send Feedback"" feature in the Settings view.",5,com.thetransitapp.droid
62,"We collect and process information from your device in several ways, including we collect your name, phone number, email address and other information you may provide when using the ""Send Feedback"" feature in the Settings view.",4,com.thetransitapp.droid
63,"We collect and process information from your device in several ways, including we collect your name, phone number, email address and other information you may provide when using the ""Send Feedback"" feature in the Settings view.",16,com.thetransitapp.droid
64,"We collect and process information from your device in several ways, including we collect contact information (email and push notification token) when you explicitly request to be notified when Transit supports a new market.",4,com.thetransitapp.droid
65,"We collect and process information from your device in several ways, including we collect contact information (email and push notification token) when you explicitly request to be notified when Transit supports a new market.",17,com.thetransitapp.droid
66,"We collect and process information from your device in several ways, including when booking or purchasing mobility services directly from Transit (ridehail, bikeshare, carshare, transit tickets) in supported cities, we may collect your name, phone number, zip/postal code, email address, physical address, payment information, and other elements necessary to complete a transaction.",16,com.thetransitapp.droid
67,"We collect and process information from your device in several ways, including when booking or purchasing mobility services directly from Transit (ridehail, bikeshare, carshare, transit tickets) in supported cities, we may collect your name, phone number, zip/postal code, email address, physical address, payment information, and other elements necessary to complete a transaction.",5,com.thetransitapp.droid
68,"We collect and process information from your device in several ways, including when booking or purchasing mobility services directly from Transit (ridehail, bikeshare, carshare, transit tickets) in supported cities, we may collect your name, phone number, zip/postal code, email address, physical address, payment information, and other elements necessary to complete a transaction.",4,com.thetransitapp.droid
69,"For example, if you purchase a public transit ticket, we may share the time and location where you purchased that ticket in order to ensure that no fraudulent tickets have been sold; or if you try to unlock a bikeshare bike, we may verify your location to ensure that you're near the station before you unlock a bike.",18,com.thetransitapp.droid
70,This Application collects some Personal Data from its Users.,1,app.horsevip.mcqcarligpuzz
71,"We will normally collect personal information from you only when we have your consent to do sowhen we need the personal information to fulfill a contract with you and provide you with the Services, such as customer services, bug and service-error detection, and fraud preventionwhen the processing is in our legitimate interests (when we serve and measure the effectiveness of advertising or marketing campaigns, analyze your gaming activities, protect and improve our products and services) and not overridden by your rights, orwhen we have a legal obligation to collect personal information from you 4",1,com.letsfungame.farmharvestpop
72,"In order to operate the Services, your personal information may be transferred to other LETSFUN studios or entities, subsidiaries, processors or third parties located worldwide as described below (please refer to ""International operations and transfers of your information"").",2,com.letsfungame.farmharvestpop
73,"In order to operate the Services, your personal information may be transferred to other LETSFUN studios or entities, subsidiaries, processors or third parties located worldwide as described below (please refer to ""International operations and transfers of your information"").",19,com.letsfungame.farmharvestpop
74,"As part of our international operations, we may transfer personal information to our affiliates (which means subsidiaries, parent companies, joint ventures, and other corporate entities under common ownership of lETSFUN) from time to time for our legitimate business purposes.",1,com.letsfungame.farmharvestpop
75,"As part of our international operations, we may transfer personal information to our affiliates (which means subsidiaries, parent companies, joint ventures, and other corporate entities under common ownership of lETSFUN) from time to time for our legitimate business purposes.",2,com.letsfungame.farmharvestpop
78,"Exactly what information we receive will depend on your settings in your Facebook account, but typically we will receive your basic public profile information such as your username, email address, age range, gender, chosen language, country, friends list and any other public information.",4,com.letsfungame.farmharvestpop
79,If you provide us with your email address we may from time to time use that email address to send you marketing emails about our other games and Services.,4,com.letsfungame.farmharvestpop
80,"Exactly what information we receive will depend on your settings in your Google account, but typically we will receive your basic public profile information such as your name, email address and profile picture.",5,com.letsfungame.farmharvestpop
81,"Exactly what information we receive will depend on your settings in your Google account, but typically we will receive your basic public profile information such as your name, email address and profile picture.",4,com.letsfungame.farmharvestpop
82,What personal data we collect and why we collect it,1,com.autonettv.mobile
83,"These websites may collect data about you, use cookies, embed additional third-party tracking, and monitor your interaction with that embedded content, including tracking your interaction with the embedded content if you have an account and are logged in to that website.",20,com.autonettv.mobile
84,"For users that register on our website (if any), we also store the personal information they provide in their user profile.",1,com.autonettv.mobile
85,We do not directly collect any personally identifiable information from you.,11,com.js.ludo
86,"In the case we discover that a child under 13 has provided me with personal information, we immediately delete this from our servers.",1,com.js.ludo
87,"If you are a parent or guardian and you are aware that your child has provided us with personal information, please contact us so that we will be able to do necessary actions.",1,com.js.ludo
88,Consent: By Accessing or Using our Apps you agree to Privacy Policy in which we will collect your personal and non-personal information.,7,com.funfort.pottery.making.shop
89,"We collect your personal and non-personal information when you browse our web site, when you play our game/app on mobile phone or when you contact us through email/facebook or other support mediums",7,com.funfort.pottery.making.shop
90,"Use and Disclosure of Information: We will not disclose any personal information other than the purpose of offering goods and services to you, for any other purpose that you may reasonably expect, for any other purpose authorized by law, or for any other purposes disclosed to or authorized by you.",1,com.funfort.pottery.making.shop
91,We will not share your personal information with third parties without your consent.,1,com.funfort.pottery.making.shop
92,We will not share your personal information with third parties without your consent.,2,com.funfort.pottery.making.shop
93,"We can use information about you to verify your compliance with any terms and conditions that may apply to the use of our software, applications and services.",20,com.funfort.pottery.making.shop
94,"When you sign up to use the App, we may collect Personal Data about you such as name you assign to your account.",5,ipnossoft.rma.free
95,"When you sign up to use the App, we may collect Personal Data about you such as name you assign to your account.",1,ipnossoft.rma.free
96,"When you sign up to use the App, we may collect Personal Data about you such as email address you assign to your account; and",4,ipnossoft.rma.free
97,"When you sign up to use the App, we may collect Personal Data about you such as email address you assign to your account; and",1,ipnossoft.rma.free
98,"When you sign up to use the App, we may collect Personal Data about you such as password or passcode you assigned to your account.",1,ipnossoft.rma.free
99,"you access or use the App or Web, we may automatically collect the following information: device Information: hardware model.",21,ipnossoft.rma.free
100,"you access or use the App or Web, we may automatically collect the following information: device Information: information about the operating system and its version.",21,ipnossoft.rma.free
101,"you access or use the App or Web, we may automatically collect the following information: device Information: unique device identifiers (e.g. IDFA).",21,ipnossoft.rma.free
102,"you access or use the App or Web, we may automatically collect the following information: device Information: unique device identifiers (e.g. IDFA).",6,ipnossoft.rma.free
103,"you access or use the App or Web, we may automatically collect the following information: device Information: mobile network information.",22,ipnossoft.rma.free
104,"you access or use the App or Web, we may automatically collect the following information: device Information: mobile network information.",21,ipnossoft.rma.free
105,"you access or use the App or Web, we may automatically collect the following information: device Information: device storage information.",21,ipnossoft.rma.free
106,"you access or use the App or Web, we may automatically collect the following information: device Information: browsers information (for Web).",21,ipnossoft.rma.free
107,"you access or use the App or Web, we may automatically collect the following information: device Information: app information (like App version, SDKs version, etc)",21,ipnossoft.rma.free
108,Do we share my personal data with third-parties?,1,ipnossoft.rma.free
109,Do we share my personal data with third-parties?,2,ipnossoft.rma.free
110,"Information about you may be disclosed to third parties for one or more of the following purposes: for business purposes and advertising: We may share your information with vendors and service providers, including our data hosting and data storage partners, analytics and advertising providers, and vendors providing technology services and support, payment processing, data security, and similar services.",9,ipnossoft.rma.free
111,"Information about you may be disclosed to third parties for one or more of the following purposes: for business purposes and advertising: We may share your information with vendors and service providers, including our data hosting and data storage partners, analytics and advertising providers, and vendors providing technology services and support, payment processing, data security, and similar services.",20,ipnossoft.rma.free
112,Information about you may be disclosed to third parties for one or more of the following purposes: with your direction or consent: We may share your information with third parties if you request or direct us to do so.,20,ipnossoft.rma.free
113,Information about you may be disclosed to third parties for one or more of the following purposes: with your direction or consent: We may share your information with third parties if you request or direct us to do so.,9,ipnossoft.rma.free
114,Information about you may be disclosed to third parties for one or more of the following purposes: with affiliates within our corporate group: We may share your information with any subsidiaries or parent companies within our corporate group.,20,ipnossoft.rma.free
115,Information about you may be disclosed to third parties for one or more of the following purposes: with affiliates within our corporate group: We may share your information with any subsidiaries or parent companies within our corporate group.,9,ipnossoft.rma.free
116,"Information about you may be disclosed to third parties for one or more of the following purposes: compliance with law: We may share your information with a court, a regulatory entity, law enforcement personnel, or pursuant to a subpoena, to comply with applicable law or any obligations thereunder.",9,ipnossoft.rma.free
117,"Information about you may be disclosed to third parties for one or more of the following purposes: compliance with law: We may share your information with a court, a regulatory entity, law enforcement personnel, or pursuant to a subpoena, to comply with applicable law or any obligations thereunder.",20,ipnossoft.rma.free
118,"Information about you may be disclosed to third parties for one or more of the following purposes: in the context of a transaction: We may share your information in connection with an asset sale, merger, bankruptcy, or other business transaction.",20,ipnossoft.rma.free
119,"Information about you may be disclosed to third parties for one or more of the following purposes: in the context of a transaction: We may share your information in connection with an asset sale, merger, bankruptcy, or other business transaction.",9,ipnossoft.rma.free
120,"Information about you may be disclosed to third parties for one or more of the following purposes: for other business reasons: We may share your information to enforce any applicable Terms and Conditions and Terms of Use, and to ensure the safety and security of the site and",20,ipnossoft.rma.free
121,"Information about you may be disclosed to third parties for one or more of the following purposes: for other business reasons: We may share your information to enforce any applicable Terms and Conditions and Terms of Use, and to ensure the safety and security of the site and",9,ipnossoft.rma.free
122,"If we need to share your Personal Data with other platforms for this purpose, except as defined herein, we will ask for your consent.",1,ipnossoft.rma.free
123,"If we need to share your Personal Data with other platforms for this purpose, except as defined herein, we will ask for your consent.",2,ipnossoft.rma.free
124,"This is how we work the AppsFlyer/integrated ad platforms You become a user of one of our Apps, and we start sharing Personal Data, strictly limited to the following set: Technical identifiers: IP address (which may also provide location information), User agent, IDFA (Identifier for advertisers), Android ID (in Android devices), Google Advertiser ID, Customer-issued user ID and other similar unique technical identifiers.",1,ipnossoft.rma.free
125,"This is how we work the AppsFlyer/integrated ad platforms You become a user of one of our Apps, and we start sharing Personal Data, strictly limited to the following set: Your subscription status;",1,ipnossoft.rma.free
126,"This is how we work the AppsFlyer/integrated ad platforms You become a user of one of our Apps, and we start sharing Personal Data, strictly limited to the following set: The fact of application launch.",1,ipnossoft.rma.free
127,"In this situation, regarding personal data of European Union residents, we may transfer Personal Data to a Third Party outside the European Union after entering into a data transfer agreement with the other party/parties, based on standard contractual clauses adopted by the European Commission, or after adopting Binding Corporate Rules where necessary.",1,ipnossoft.rma.free
128,"In this situation, regarding personal data of European Union residents, we may transfer Personal Data to a Third Party outside the European Union after entering into a data transfer agreement with the other party/parties, based on standard contractual clauses adopted by the European Commission, or after adopting Binding Corporate Rules where necessary.",2,ipnossoft.rma.free
129,"In particular, we have collected the following categories of personal information from consumers within the last twelve months: category.",1,ipnossoft.rma.free
130,We obtain the categories of personal information listed above from the following categories of sources: directly from you.,1,ipnossoft.rma.free
131,We obtain the categories of personal information listed above from the following categories of sources: indirectly from you.,1,ipnossoft.rma.free
132,"We obtain the categories of personal information listed above from the following categories of sources: from third-party business partners such as Iterable, Mixpanel, Apple Kit, Google Fit, AppsFlyer, social media sites, ad networks, and analytics providers.",1,ipnossoft.rma.free
133,We may use or disclose the personal information we collect for one or more of the following purposes: to fulfill or meet the reason you provided the information.,1,ipnossoft.rma.free
134,"For example, if you share your name and contact information to ask a question about our products or services, we will use that personal information to respond to your inquiry.",1,ipnossoft.rma.free
135,"We may use or disclose the personal information we collect for one or more of the following purposes: to provide, support, personalize, and develop our website, Apps, products, and services.",1,ipnossoft.rma.free
136,"We may use or disclose the personal information we collect for one or more of the following purposes: to create, maintain, customize, and secure your account with us.",1,ipnossoft.rma.free
137,"We may use or disclose the personal information we collect for one or more of the following purposes: to process your requests, purchases, transactions, and payments and prevent transactional fraud.",1,ipnossoft.rma.free
138,"We may use or disclose the personal information we collect for one or more of the following purposes: to provide you with support and to respond to your inquiries, including to investigate and address your concerns and monitor and improve our responses.",1,ipnossoft.rma.free
139,"We may use or disclose the personal information we collect for one or more of the following purposes: to personalize your app or website experience and to deliver content and product and service offerings relevant to your interests, including targeted offers and ads through third-party sites, and via email or text message (with your consent, where required by law).",1,ipnossoft.rma.free
140,"We may use or disclose the personal information we collect for one or more of the following purposes: to monitor and analyze trends, usage, and activities in connection with our App",1,ipnossoft.rma.free
141,"We may use or disclose the personal information we collect for one or more of the following purposes: to help maintain the safety, security, and integrity of our website, products and services, databases and other technology assets, and business.",1,ipnossoft.rma.free
142,"We may use or disclose the personal information we collect for one or more of the following purposes: for testing, research and product development, including to develop and improve our website, Apps, products, and services.",1,ipnossoft.rma.free
143,"We may use or disclose the personal information we collect for one or more of the following purposes: to respond to law enforcement requests and as required by applicable law, court order, or governmental regulations.",1,ipnossoft.rma.free
144,We may use or disclose the personal information we collect for one or more of the following purposes: as described to you when collecting your personal information or as otherwise set forth in the CCPA.,1,ipnossoft.rma.free
145,"We may use or disclose the personal information we collect for one or more of the following purposes: to evaluate or conduct a merger, divestiture, restructuring, reorganization, dissolution, or other sale or transfer of some or all of our assets, whether as a going concern or as part of bankruptcy, liquidation, or similar proceeding, in which personal information held by us about our users is among the assets transferred.",1,ipnossoft.rma.free
146,"We will not collect additional categories of personal information or use the personal information we collected for materially different, unrelated, or incompatible purposes without providing you notice.",11,ipnossoft.rma.free
147,We may share your personal information by disclosing it to a third party for a business purpose.,1,ipnossoft.rma.free
148,"In the preceding twelve months, we have disclosed personal information for a business purpose to the categories of third parties indicated in the chart below.",1,ipnossoft.rma.free
149,"You have the right to request that we disclose certain information to you about our collection and use of your personal information over the past 12 months (the ""right to know"").",1,ipnossoft.rma.free
150,"Once we receive your request and confirm your identity (see Exercising Your Rights to Know or Delete), we will disclose to you the categories of personal information we collected about you.",1,ipnossoft.rma.free
151,"Once we receive your request and confirm your identity (see Exercising Your Rights to Know or Delete), we will disclose to you the categories of third parties with whom we share that personal information.",1,ipnossoft.rma.free
152,"Once we receive your request and confirm your identity (see Exercising Your Rights to Know or Delete), we will disclose to you if we sold or disclosed your personal information for a business purpose, two separate lists disclosing:",1,ipnossoft.rma.free
153,"We may deny your deletion request if retaining the information is necessary for us or our service providers to Complete the transaction for which we collected the personal information, provide a good or service that you requested, take actions reasonably anticipated within the context of our ongoing business relationship with you, fulfill the terms of a written warranty or product recall conducted in accordance with federal law, or otherwise perform our contract with you.",1,ipnossoft.rma.free
154,"Your request to know or delete must provide sufficient information that allows us to reasonably verify you are the person about whom we collected personal information or an authorized representative, which may include:",1,ipnossoft.rma.free
155,We will only use personal information provided in the request to verify the requestor's identity or authority to make it.,1,ipnossoft.rma.free
156,"We may collect personal information either directly from you, or from third parties, including where you contact us through our website;",1,au.com.ozsale
157,"We may collect personal information either directly from you, or from third parties, including where you receive goods or services from us;",1,au.com.ozsale
158,"We may collect personal information either directly from you, or from third parties, including where you submit any of our online sign up forms;",1,au.com.ozsale
159,"We may collect personal information either directly from you, or from third parties, including where you communicate with us via email, telephone, SMS, social applications (such as LinkedIn, Facebook or Twitter) or otherwise;",1,au.com.ozsale
160,"We may collect personal information either directly from you, or from third parties, including where you interact with our website, social applications, services, content and advertising;",1,au.com.ozsale
161,"We may collect personal information either directly from you, or from third parties, including where you invest in our business or enquire as to a potential purchase in our business.",1,au.com.ozsale
162,We may also collect personal information from you when you use or access our website or our social media pages.,1,au.com.ozsale
163,"We collect and use personal information for the following purposes: to provide goods, services or information to you;",1,au.com.ozsale
164,We collect and use personal information for the following purposes: for record keeping and administrative purposes;,1,au.com.ozsale
165,"We collect and use personal information for the following purposes: to provide information about you to our contractors, employees, consultants, agents or other third parties for the purpose of providing goods or services to you;",1,au.com.ozsale
166,We collect and use personal information for the following purposes: to improve and optimise our service offering and customer experience;,1,au.com.ozsale
167,"We collect and use personal information for the following purposes: to comply with our legal obligations, resolve disputes or enforce our agreements with third parties;",1,au.com.ozsale
168,"We collect and use personal information for the following purposes: to send you marketing and promotional messages and other information that we believe may be of interest to you (including about us, our products and services, or the products and services of our brands/businesses, our related entities and third parties) and for the purpose of direct marketing (in accordance with the Spam Act).",1,au.com.ozsale
169,"In this regard, we may use email, SMS, social media or mail to send you direct marketing communications.",4,au.com.ozsale
170,"We collect and use personal information for the following purposes: to send you administrative messages, reminders, notices, updates, security alerts, and other information requested by you;",1,au.com.ozsale
171,We collect and use personal information for the following purposes: to consider an application of employment from you.,1,au.com.ozsale
172,"We may disclose your personal information to cloud-providers, contractors and other third parties located inside or outside of Australia and New Zealand.",2,au.com.ozsale
173,"We may disclose your personal information to cloud-providers, contractors and other third parties located inside or outside of Australia and New Zealand.",1,au.com.ozsale
174,"We may collect personal identification information from Users in a variety of ways, including, but not limited to, when Users visit our site, register on the site, place an order, subscribe to the newsletter, respond to a survey, fill out a form, and in connection with other activities, services, features or resources we make available on our Site.",1,org.lighthousecatholicmedia.lcmbible
175,We will collect personal identification information from Users only if they voluntarily submit such information to us.,1,org.lighthousecatholicmedia.lcmbible
176,"We may collect non-personal identification information about Users whenever they interact with our Site. Non-personal identification information may include the browser name, the type of computer and technical information about Users means of connection to our Site, such as the operating system and the Internet service providers utilized and other similar information.",7,org.lighthousecatholicmedia.lcmbible
177,The Augustine Institute may collect and use Users personal information for the following purposes: we may use the email address to send User information and updates pertaining to their order.,4,org.lighthousecatholicmedia.lcmbible
178,"Furthermore, when You use Our Service, Our Data Partners may, only with Your explicit consent, collect certain device and location data (both approximate and precise location) to be able to offer a range of services that include, but are not limited to, a more customized ad experience, and improved app functionality and user experience through analytics.",23,com.australia.weatherreport
179,"In order to provide 5 years (from the date the user starts using our services to the date of withdrawal) of game and customer services for our game users, we will be collecting information as below player's name",5,com.superplanet.videogameguardians
180,"In order to provide 5 years (from the date the user starts using our services to the date of withdrawal) of game and customer services for our game users, we will be collecting information as below iD used in different platforms (Google Games, Apple Game Center)",24,com.superplanet.videogameguardians
181,We may share your Personal Information with these third party service providers so that they may provide their services to us.,2,com.superplanet.videogameguardians
182,We may share your Personal Information with these third party service providers so that they may provide their services to us.,1,com.superplanet.videogameguardians
183,"The third parties may receive the following information: your name, mailing address, geographic data and payment information.",23,com.superplanet.videogameguardians
184,"The third parties may receive the following information: your name, mailing address, geographic data and payment information.",25,com.superplanet.videogameguardians
185,"The third parties may receive the following information: internet Protocol Address, Device ID, Browser type",26,com.superplanet.videogameguardians
186,The third parties may receive the following information: android ID or Identifier for Advertisers (IDFA),27,com.superplanet.videogameguardians
187,The third parties may receive the following information: app usage data,28,com.superplanet.videogameguardians
188,We cannot sell your personal information after we receive your opt-out request unless you later provide an authorization allowing us to do so again.,1,com.superplanet.videogameguardians
189,"(Note that we do not usually sell your personal information literally, whether you agree with this policy or not.",1,com.superplanet.videogameguardians
190,We may need to ask you for additional information to make sure we stop selling the right user's personal information.,1,com.superplanet.videogameguardians
191,"We may obtain information about you from third parties, including third-party verification services.",20,com.google.android.apps.walletnfcrel
192,"Also, for sellers, we may obtain information about you and your business from a credit bureau or a business information service.",20,com.google.android.apps.walletnfcrel
193,"In addition to the uses listed in the Google Privacy Policy, we use the information you provide to us, Google Payment Corp. (GPC), or another of our subsidiaries, as well as information about you from third parties, in order to provide you with Google Payments for customer service purposes",20,com.google.android.apps.walletnfcrel
194,"In addition to the uses listed in the Google Privacy Policy, we use the information you provide to us, Google Payment Corp. (GPC), or another of our subsidiaries, as well as information about you from third parties, in order to prevent harm to the rights, property or safety of Google, our users or the public, including to help prevent fraud, phishing or other misconduct",20,com.google.android.apps.walletnfcrel
195,"In addition to the uses listed in the Google Privacy Policy, we use the information you provide to us, Google Payment Corp. (GPC), or another of our subsidiaries, as well as information about you from third parties, in order to assist third parties in the provision of products or services that you request from them",20,com.google.android.apps.walletnfcrel
196,"In addition to the uses listed in the Google Privacy Policy, we use the information you provide to us, Google Payment Corp. (GPC), or another of our subsidiaries, as well as information about you from third parties, in order to review your Google payments profile to determine whether you continue to meet the terms of the service",20,com.google.android.apps.walletnfcrel
